,City,Cloudiness,Country,Date,Humidity,Max Temp,Wind Speed,Latitude,Longitude
106,Portland,75,US,1593361029,62,60.01,8.05,45.52,-122.68
107,Diamantino,10,BR,1593361478,44,85.17,5.3,-14.41,-56.45
108,Lorengau,92,PG,1593361091,80,81.18,8.14,-2.02,147.27
109,Makkah al Mukarramah,83,SA,1593361479,22,97.66,8.01,21.43,39.83
110,Saint George,1,US,1593361081,18,91.4,16.11,37.1,-113.58
111,Krasnovishersk,100,RU,1593361479,75,49.21,6.71,60.41,57.08
112,Hithadhoo,100,MV,1593361046,68,85.68,8.05,-0.6,73.08
113,Cooma,0,AU,1593361479,100,24.8,0.96,-36.23,149.13
114,Vieques,40,PR,1593361479,70,91.0,14.99,18.43,-65.83
115,Maibong,13,IN,1593361479,90,73.94,3.85,25.3,93.17
116,Ternate,100,ID,1593361081,76,79.9,2.39,0.8,127.4
117,Buchanan,75,LR,1593361026,78,82.4,6.93,5.88,-10.05
118,Sangamner,100,IN,1593361480,78,79.66,5.66,19.57,74.22
119,Lompoc,100,US,1593361051,93,59.0,8.05,34.64,-120.46
120,Alugan,100,PH,1593361097,81,79.14,1.88,12.22,125.48
121,Rawson,100,AR,1593361480,66,41.07,1.72,-43.3,-65.1
122,Kavieng,35,PG,1593361480,79,82.53,12.33,-2.57,150.8
123,Ancud,90,CL,1593361093,100,46.0,5.82,-41.87,-73.82
124,Rikitea,9,PF,1593361050,64,68.02,19.86,-23.12,-134.97
125,Praia,20,CV,1593361232,55,86.0,21.92,14.92,-23.51
126,Am Timan,1,TD,1593361481,34,95.07,6.71,11.03,20.28
127,Dikson,100,RU,1593361076,100,43.97,9.04,73.51,80.55
128,Pedernales,40,DO,1593361481,59,91.4,16.11,18.04,-71.74
129,Mucurapo,40,TT,1593361481,66,89.01,12.75,10.67,-61.53
130,Yining,100,CN,1593361361,90,77.43,3.02,29.04,114.56
131,Chālūs,90,IR,1593361195,88,68.0,4.7,36.66,51.42
132,New Norfolk,41,AU,1593361048,91,42.01,2.75,-42.78,147.06
133,Porto-Novo,20,BJ,1593361094,88,78.8,11.41,6.5,2.6
134,Armidale,7,AU,1593361482,97,35.87,3.4,-30.52,151.65
135,Zyryanka,91,RU,1593361070,38,55.56,6.55,65.75,150.85
136,Ongandjera,0,NA,1593361482,21,73.06,4.52,-17.88,15.07
137,Pacific Grove,90,US,1593360966,82,57.99,9.17,36.62,-121.92
138,Sain Alto,96,MX,1593361482,50,70.45,7.58,23.58,-103.25
139,Aklavik,40,CA,1593361482,50,55.4,4.7,68.22,-135.01
140,Jalingo,82,NG,1593361482,78,80.11,6.31,8.88,11.37
141,East London,22,ZA,1593361050,46,64.42,22.48,-33.02,27.91
142,Mutare,0,ZW,1593361482,38,62.55,1.72,-18.97,32.67
143,Ürümqi,20,CN,1593361483,52,64.4,17.9,43.8,87.6
144,Ulladulla,75,AU,1593361483,100,48.2,4.7,-35.35,150.47
145,Boa Vista,75,BR,1593360836,62,87.8,10.29,2.82,-60.67
146,Saint-Philippe,34,RE,1593361065,83,70.0,4.7,-21.36,55.77
147,Pasinler,40,TR,1593361483,48,66.2,11.41,39.98,41.68
148,Esperance,90,AU,1593361066,93,57.2,17.22,-33.87,121.9
149,Grand Gaube,12,MU,1593361049,75,73.99,5.99,-20.01,57.66
150,Leningradskiy,96,RU,1593361483,98,29.01,4.74,69.38,178.42
151,Baruun-Urt,100,MN,1593361065,66,66.56,8.79,46.68,113.28
152,Margate,0,GB,1593361024,57,66.0,8.01,51.38,1.39
153,Alice Springs,0,AU,1593361484,51,39.2,7.02,-23.7,133.88
154,Bukachacha,37,RU,1593361484,65,59.4,4.18,52.98,116.92
155,Broome,40,US,1593361071,69,78.01,6.93,42.25,-75.83
156,Cabo San Lucas,90,MX,1593361049,58,84.2,4.7,22.89,-109.91
157,Pevek,100,RU,1593361074,99,31.95,18.28,69.7,170.31
158,Saskylakh,92,RU,1593361008,52,69.39,8.86,71.92,114.08
159,Safford,1,US,1593361484,30,86.0,9.17,32.83,-109.71
160,Sabang,75,ID,1593361485,78,83.3,15.35,5.89,95.32
161,Faanui,59,PF,1593361050,79,76.33,23.85,-16.48,-151.75
162,Chui,3,UY,1593361079,61,54.19,5.91,-33.7,-53.46
163,Kavaratti,99,IN,1593361084,80,83.97,19.73,10.57,72.64
164,Meulaboh,97,ID,1593361072,84,79.39,4.03,4.14,96.13
165,Borogontsy,34,RU,1593361485,58,65.16,1.61,62.67,131.17
166,Yar-Sale,78,RU,1593361098,61,53.56,6.08,66.83,70.83
167,Rafaela,92,AR,1593361048,57,56.07,9.06,-31.25,-61.49
168,Mossamedes,0,AO,1593361051,58,72.66,9.46,-15.2,12.15
169,Foindu,84,SL,1593361486,88,79.2,4.81,7.41,-11.54
170,Isangel,37,VU,1593361005,81,69.51,10.92,-19.55,169.27
171,Biak,81,ID,1593361486,81,76.42,5.75,-0.91,122.88
172,Bathsheba,40,BB,1593361011,70,87.8,13.87,13.22,-59.52
173,Namatanai,77,PG,1593361092,79,79.5,6.87,-3.67,152.43
174,Sitka,75,US,1593360893,81,53.6,9.17,57.05,-135.33
175,Rantepao,79,ID,1593361486,88,65.61,1.21,-2.97,119.9
176,Port Elizabeth,15,ZA,1593361062,72,59.0,20.8,-33.92,25.57
177,Pyu,81,MM,1593361487,90,75.45,3.44,18.48,96.43
178,Pruszków,42,PL,1593361487,54,87.01,8.05,52.17,20.81
179,Kaitangata,100,NZ,1593361006,72,46.0,13.0,-46.28,169.85
180,Mananjary,0,MG,1593361487,88,69.8,7.14,-21.22,48.33
181,Port Hedland,9,AU,1593361487,59,66.2,3.36,-20.32,118.57
182,Fengcheng,83,CN,1593361487,80,66.2,0.83,40.45,124.07
183,Bethel,75,US,1593360876,61,84.0,5.82,41.37,-73.41
184,Upernavik,0,GL,1593361055,70,41.63,8.93,72.79,-56.15
185,Flinders,3,AU,1593361058,87,52.0,1.01,-34.58,150.86
186,Dingle,100,PH,1593361023,86,76.93,2.28,11.0,122.67
187,Dolores,42,AR,1593361229,61,49.39,4.88,-36.31,-57.68
188,Mildura,77,AU,1593361488,100,35.6,3.36,-34.2,142.15
189,Hualmay,52,PE,1593361488,68,66.79,9.04,-11.1,-77.61
190,Makakilo City,1,US,1593361488,83,73.4,3.36,21.35,-158.09
191,Redlands,90,US,1593361354,64,71.01,5.61,34.06,-117.18
192,Henties Bay,0,NA,1593361102,77,62.01,5.01,-22.12,14.28
193,Storforshei,5,NO,1593361488,34,80.01,4.7,66.4,14.52
194,Ust-Nera,11,RU,1593361489,55,61.66,1.77,64.57,143.2
195,Vung Tau,100,VN,1593361489,78,83.3,13.18,10.35,107.08
196,Lebu,96,CL,1593361059,93,53.4,14.43,-37.62,-73.65
197,Mongo,69,TD,1593361489,27,98.28,6.78,12.18,18.69
198,Odesa,4,UA,1593361280,33,87.8,13.42,46.48,30.73
199,Nizwá,73,OM,1593361053,31,96.08,1.86,22.93,57.53
200,Ilulissat,75,GL,1593361091,75,42.8,5.82,69.22,-51.1
201,Anking,100,CN,1593361489,81,80.96,8.34,30.51,117.05
202,Norman Wells,20,CA,1593361058,62,57.2,6.93,65.28,-126.83
203,Lahaina,20,US,1593361490,73,73.0,4.83,20.88,-156.68
204,Jiménez,75,MX,1593361490,34,80.6,5.82,28.33,-105.4
205,Juneau,20,US,1593361490,76,57.2,5.82,58.3,-134.42
206,Prainha,57,BR,1593361490,82,82.47,3.69,-1.8,-53.48
207,Abay,100,KZ,1593361490,54,55.4,11.18,49.63,72.85
208,Clyde River,90,CA,1593361058,78,33.8,10.29,70.47,-68.59
209,Shīeli,0,KZ,1593361491,31,66.79,5.59,44.17,66.75
210,Pisco,90,PE,1593361052,82,62.6,3.36,-13.7,-76.22
211,Quatre Cocos,40,MU,1593361079,83,73.99,8.05,-20.21,57.76
212,Ormara,16,PK,1593361491,83,85.42,20.74,25.21,64.64
213,Bonavista,81,CA,1593361251,85,57.02,10.25,48.65,-53.11
214,Benguela,1,AO,1593361491,68,76.12,8.61,-12.58,13.41
215,Sangolquí,75,EC,1593361491,55,64.4,4.7,-0.33,-78.45
216,Vestmanna,97,FO,1593361099,93,55.4,18.34,62.16,-7.17
217,Shimoda,87,JP,1593361051,95,64.0,6.76,34.67,138.95
218,Kabare,57,CD,1593361492,78,65.43,4.36,-2.47,28.82
219,Viedma,100,AR,1593361101,56,46.15,3.98,-40.81,-63.0
220,Jumla,100,NP,1593361103,71,63.41,1.41,29.27,82.18
221,Isla Vista,90,US,1593361492,88,63.0,2.55,34.41,-119.86
222,Kaeo,0,NZ,1593361492,3,48.99,11.16,-35.1,173.78
223,Eureka,1,US,1593361492,63,60.8,5.82,40.8,-124.16
224,Andenes,20,NO,1593361492,87,50.0,25.28,69.31,16.12
225,Whitehorse,40,CA,1593361477,62,57.99,3.36,60.72,-135.05
226,Caravelas,0,BR,1593361057,63,79.66,7.94,-17.71,-39.25
227,Bairnsdale,0,AU,1593361493,96,35.01,3.42,-37.83,147.62
228,Lodja,100,CD,1593361493,49,83.07,1.57,-3.48,23.43
229,Panguipulli,75,CL,1593361493,93,51.8,11.41,-39.63,-72.33
230,Kenora,40,CA,1593361209,57,80.01,14.99,49.82,-94.43
231,Beira,20,MZ,1593361493,94,75.0,6.93,-19.84,34.84
232,Cherskiy,94,RU,1593361011,76,38.5,7.61,68.75,161.3
233,Bogo,100,PH,1593361493,85,78.89,4.72,11.05,124.01
234,Alofi,62,NU,1593360906,88,75.2,2.24,-19.06,-169.92
235,Hambantota,75,LK,1593361494,88,82.4,8.05,6.12,81.12
236,Coquimbo,75,CL,1593360763,82,55.4,3.36,-29.95,-71.34
237,Boston,42,US,1593361279,61,86.0,8.01,42.36,-71.06
238,Otane,19,NZ,1593361494,76,48.99,3.0,-39.88,176.63
239,Bandarbeyla,0,SO,1593361494,73,80.94,32.68,9.49,50.81
240,Samarai,82,PG,1593361494,85,78.31,16.15,-10.62,150.67
241,La Rioja,52,ES,1593360815,31,89.6,5.82,42.25,-2.5
242,Garissa,66,KE,1593361103,58,82.76,19.6,-0.45,39.64
243,Tynda,44,RU,1593361495,85,54.46,1.74,55.17,124.72
244,São Filipe,12,CV,1593361055,67,78.39,13.53,14.9,-24.5
245,Kriel,0,ZA,1593361495,49,53.01,3.0,-26.27,29.23
246,Cidreira,0,BR,1593361069,55,59.36,3.51,-30.18,-50.21
247,Mae Hong Son,71,TH,1593361495,87,74.53,2.04,19.3,97.97
248,Avera,1,US,1593361064,59,89.6,10.29,33.19,-82.53
249,Lüderitz,0,NA,1593361025,50,65.61,23.76,-26.65,15.16
250,Sibolga,77,ID,1593361496,82,77.63,3.09,1.74,98.78
251,Laranjeiras do Sul,45,BR,1593361496,82,61.95,5.19,-25.41,-52.42
252,Miles City,1,US,1593361496,64,69.8,12.75,46.41,-105.84
253,Geraldton,75,AU,1593361012,72,68.0,23.04,-28.77,114.6
254,Livingston,90,GB,1593361496,82,59.0,16.11,55.9,-3.52
255,Vernon,90,CA,1593361060,82,55.4,17.22,50.26,-119.27
256,Saint Lawrence,0,MT,1593361496,39,84.2,9.17,36.06,14.2
257,Hofn,75,IS,1593361059,63,62.6,21.92,64.25,-15.21
258,Paita,19,PE,1593361497,70,69.42,10.42,-5.09,-81.11
259,Aykhal,60,RU,1593361497,43,73.4,4.47,66.0,111.5
260,Síndos,21,GR,1593361497,61,87.01,4.0,40.67,22.81
261,Mabaruma,10,GY,1593361051,77,83.32,5.93,8.2,-59.78
262,Beni Suef,0,EG,1593361497,12,97.97,11.01,29.07,31.1
263,Lavrentiya,41,RU,1593361056,81,38.88,9.24,65.58,-171.0
264,Ferkessédougou,74,CI,1593361497,39,95.54,3.74,9.6,-5.2
265,Kloulklubed,75,PW,1593361498,88,78.8,3.36,7.04,134.26
266,Wasilla,90,US,1593361498,93,51.8,1.59,61.58,-149.44
267,Dāmghān,0,IR,1593361498,22,82.62,10.0,36.17,54.35
268,Kirakira,9,SB,1593361054,83,79.07,5.14,-10.45,161.92
269,Port Macquarie,13,AU,1593360863,91,48.99,7.94,-31.43,152.92
270,Alta Floresta,0,BR,1593361109,40,89.35,6.78,-9.88,-56.09
271,Severo-Kuril'sk,60,RU,1593361055,67,48.7,2.86,50.68,156.12
272,Nizāmābād,100,IN,1593361498,77,81.36,5.59,18.67,78.12
273,Vardø,75,NO,1593361090,87,44.6,18.34,70.37,31.11
274,Muros,89,ES,1593361080,92,66.0,8.01,42.78,-9.06
275,Kieta,85,PG,1593361499,79,79.16,2.46,-6.22,155.63
276,Leh,36,IN,1593361443,28,61.3,9.13,34.17,77.58
277,Punta Alta,100,AR,1593361499,59,45.64,9.4,-38.88,-62.07
278,Lykhivka,8,UA,1593361499,54,81.75,6.76,48.69,33.92
279,Brazzaville,35,CG,1593361499,66,84.2,5.82,-4.27,15.28
280,Harper,82,LR,1593361099,72,79.14,11.95,4.38,-7.72
281,Ahipara,19,NZ,1593361500,74,56.26,14.45,-35.17,173.17
282,Torbay,75,CA,1593361009,87,68.0,8.05,47.67,-52.73
283,Lethem,11,GY,1593361500,58,89.02,5.99,3.38,-59.8
284,Fort Walton Beach,40,US,1593361377,70,88.0,9.17,30.41,-86.62
285,Samur,83,RU,1593361500,76,65.35,11.3,41.83,48.49
286,Port Augusta,0,AU,1593361501,86,41.0,3.36,-32.5,137.77
287,Guangyuan,4,CN,1593361501,90,62.01,0.83,32.44,105.82
288,Kahului,1,US,1593361103,73,73.0,5.82,20.89,-156.47
289,Praia,20,CV,1593361501,55,86.0,18.34,14.92,-23.51
290,Lewiston,75,US,1593361501,57,78.8,8.05,44.1,-70.21
291,Tazovsky,94,RU,1593361501,95,54.86,8.52,67.47,78.7
292,São José da Coroa Grande,52,BR,1593361090,80,78.75,12.53,-8.9,-35.15
293,Constitución,100,CL,1593361045,93,54.0,15.93,-35.33,-72.42
294,Örnsköldsvik,0,SE,1593361502,32,68.0,11.41,63.29,18.72
295,Korla,66,CN,1593361502,75,81.0,3.0,41.76,86.15
296,Touros,75,BR,1593361074,66,84.2,10.29,-5.2,-35.46
297,Sobolevo,99,RU,1593361502,87,70.18,5.75,54.43,31.9
298,San Rafael,19,AR,1593361502,55,46.67,5.95,-34.62,-68.33
299,Kemin,100,KG,1593361502,77,48.87,7.16,42.78,75.69
300,Urucará,94,BR,1593361502,91,80.11,2.21,-2.54,-57.76
301,Tsivil'sk,20,RU,1593361503,48,60.8,6.71,55.86,47.47
302,Homburg,20,DE,1593361503,82,62.01,10.29,49.32,7.33
303,Itabira,20,BR,1593361103,44,77.0,4.7,-19.62,-43.23
304,Ostrovnoy,91,RU,1593361051,75,43.18,6.22,68.05,39.51
305,Karakol,100,KG,1593361503,52,47.12,7.56,42.49,78.39
306,Wukari,83,NG,1593361503,80,79.07,7.23,7.85,9.78
307,Esso,16,RU,1593361503,72,46.33,4.27,55.93,158.7
308,Kaili,97,ID,1593361504,97,67.82,1.48,-3.46,120.21
309,Fortuna,90,US,1593361010,82,57.99,12.75,40.6,-124.16
310,Kirkuk,0,IQ,1593361504,12,93.99,6.11,35.47,44.39
311,Port Blair,100,IN,1593361504,78,83.32,9.4,11.67,92.75
312,Angoche,0,MZ,1593361504,81,75.43,7.83,-16.23,39.91
313,Saldanha,13,ZA,1593361059,72,60.8,4.7,-33.01,17.94
314,Teknāf,80,BD,1593361505,86,81.09,6.02,20.86,92.31
315,Wanaka,100,NZ,1593361505,90,39.99,1.99,-44.7,169.15
316,Orchard Homes,20,US,1593361505,58,57.2,3.36,46.86,-114.05
317,Sept-Îles,75,CA,1593361505,87,59.0,10.29,50.2,-66.38
318,Kayes,38,ML,1593361505,37,100.4,9.17,14.0,-11.0
319,San Andrés,75,CO,1593361322,79,86.0,12.75,12.58,-81.7
320,Nilagiri,99,IN,1593361505,78,83.08,5.17,21.46,86.77
321,Perth,75,AU,1593361505,82,59.0,17.22,-31.93,115.83
322,Naze,93,JP,1593361506,94,78.8,6.93,28.37,129.48
323,San Vicente,52,AR,1593361506,58,66.99,2.46,-26.62,-54.13
324,Borgosesia,11,IT,1593361344,59,86.0,1.01,45.71,8.28
325,Verāval,16,IN,1593361070,77,87.04,12.21,20.9,70.37
326,Cravinhos,20,BR,1593361506,43,73.4,13.87,-21.34,-47.73
327,Tura,49,IN,1593361060,95,75.58,7.2,25.52,90.22
328,Krasnosel'kup,91,RU,1593361506,90,62.44,10.27,65.7,82.47
329,Emerald,90,AU,1593361023,77,59.0,4.7,-23.53,148.17
330,Atambua,41,ID,1593361506,89,70.38,5.39,-9.11,124.89
331,Sechura,64,PE,1593361081,64,71.35,9.19,-5.56,-80.82
332,Sola,90,VU,1593361507,100,77.0,15.59,-13.88,167.55
333,Calvinia,54,ZA,1593361507,73,47.08,7.76,-31.47,19.78
334,Lamar,90,US,1593361507,70,86.0,17.22,33.67,-95.58
335,Havre-St-Pierre,90,CA,1593361078,72,64.4,14.99,50.23,-63.6
336,Barra de Tecoanapa,0,MX,1593361507,55,86.97,3.78,16.52,-98.75
337,Mehamn,90,NO,1593361055,87,42.8,10.29,71.04,27.85
338,Qeshm,0,IR,1593361440,67,95.0,11.41,26.96,56.27
339,Province of Mantua,9,IT,1593361507,42,91.99,3.0,45.17,10.78
340,Alyangula,87,AU,1593361508,93,66.2,9.91,-13.85,136.42
341,Hamilton,75,US,1593361059,88,75.0,6.93,39.18,-84.53
342,Killorglin,75,IE,1593361508,87,55.4,14.99,52.1,-9.78
343,Kalmunai,95,LK,1593361508,75,84.69,4.34,7.42,81.82
344,Bambous Virieux,40,MU,1593361007,83,73.99,8.05,-20.34,57.76
345,Carnarvon,40,AU,1593361066,100,68.0,8.05,-24.87,113.63
346,Gunjur,89,GM,1593361509,66,89.6,14.99,13.2,-16.73
347,Des Moines,75,US,1593361380,69,79.0,11.41,41.6,-93.61
348,Marsh Harbour,37,BS,1593361018,67,82.29,4.63,26.54,-77.06
349,São Gabriel da Cachoeira,75,BR,1593361509,88,78.8,6.93,-0.13,-67.09
350,Gambo,81,CF,1593361509,69,82.17,1.97,4.65,22.26
351,Hanna,100,CA,1593361509,85,54.0,8.99,51.63,-111.9
352,Hammerfest,75,NO,1593361510,81,44.6,8.05,70.66,23.68
353,Chichi,100,NG,1593361510,83,77.94,10.13,7.27,8.93
354,Dicabisagan,100,PH,1593361510,84,79.47,3.15,17.08,122.42
355,Mehrān,0,IR,1593361510,16,86.0,9.17,33.12,46.16
356,Qui Nhon,100,VN,1593361076,76,82.8,4.36,13.77,109.23
357,Palencia,2,ES,1593361510,36,87.01,5.99,42.42,-4.5
358,Zemio,22,CF,1593361510,81,78.39,4.12,5.03,25.14
359,Marathon,1,US,1593361510,69,78.8,8.05,44.9,-89.77
360,Olden,75,NO,1593361511,72,64.4,9.17,61.84,6.81
361,Mahébourg,40,MU,1593361049,83,71.6,8.05,-20.41,57.7
362,Colquiri,1,BO,1593361096,42,47.23,8.75,-17.42,-67.13
363,Giohar,95,SO,1593361511,75,79.34,14.07,2.78,45.5
364,Sayyan,87,YE,1593361511,24,76.08,15.93,15.17,44.32
365,Matara,87,LK,1593361080,85,80.53,9.84,5.95,80.54
366,Bengkulu,40,ID,1593361082,87,78.03,6.06,-3.8,102.27
367,Koungou,0,YT,1593361511,78,77.0,9.17,-12.73,45.2
368,Jāwad,71,IN,1593361512,44,92.86,13.27,24.6,74.85
369,Djambala,7,CG,1593361512,37,85.51,4.88,-2.54,14.75
370,Iztapa,40,GT,1593361512,66,87.8,1.88,13.93,-90.71
371,San Cristobal,40,VE,1593361083,45,87.8,20.8,7.77,-72.22
372,Cabedelo,40,BR,1593361512,66,84.2,12.75,-6.98,-34.83
373,Yulara,0,AU,1593361005,34,50.0,6.93,-25.24,130.99
374,Mahon,20,ES,1593361512,69,80.6,6.93,39.89,4.27
375,Toulouse,40,FR,1593361512,57,84.99,11.41,43.6,1.44
